"id:ID","name","uri_reference","uuid"
"2238","Height","https://bc.d4k.dk/bc_instance/height","d7b1dae7-9573-4d7a-b203-d6cb1ce9422e"
"2239","Weight","https://bc.d4k.dk/bc_instance/weight","a3f8d7db-9ee8-44f2-b876-0a0590d0d65b"
"2240","Temperature","https://bc.d4k.dk/bc_instance/peripheral_body_temperature","3af92b3b-a224-4a74-a670-e1405d7b6ce6"
"2241","Liver Size","https://bc.d4k.dk/bc_instance/liver_size","cfe0c298-8a77-4ad2-bd3b-50024bb9114a"
"2242","Spleen Size","https://bc.d4k.dk/bc_instance/spleen_size","ddeefe32-2288-4604-b33b-b59ff70fa7dc"
"2243","Hematocrit","https://bc.d4k.dk/bc_instance/hematocrit","59f0a8fc-e092-486b-bc4a-a464f67d5e8e"
"2244","Plasmodium","https://bc.d4k.dk/bc_instance/plasmodium","1827c2fc-89cf-4fb0-a959-2f84d853cb94"
"2245","Plasmodium vivax, Asexual","https://bc.d4k.dk/bc_instance/plasmodium_vivax,_asexual","2daa99a9-d837-4239-bdc1-6a1e9c409727"
"2246","Plasmodium vivax, Sexual","https://bc.d4k.dk/bc_instance/plasmodium_vivax,_sexual","e6a94445-6f69-4db2-82f8-06e7408a8fc9"
"2247","Plasmodium flciparum, Asexual","https://bc.d4k.dk/bc_instance/plasmodium_flciparum,_asexual","0c9709e9-1990-496d-87d5-f470b0e5a323"
"2248","Age","https://bc.d4k.dk/bc_instance/age","67f2a2e9-2647-408b-8a95-3e2e79885edf"
"2249","Sex","https://bc.d4k.dk/bc_instance/sex","21a65a80-9710-4633-bd8b-5187bc1d4533"
"2250","Ethnicity","https://bc.d4k.dk/bc_instance/ethnicity","a6037215-3c57-465f-8635-769559cd41a3"
"2251","Race","https://bc.d4k.dk/bc_instance/race","2726b545-d8d6-4574-abd0-b6f87e70f79c"
